Time	Turns		Torque
94.303	0.739393	2829
94.327	0.739576	2829
94.351	0.739759	2829
94.371	0.739941	2836
94.395	0.740124	2829
94.418	0.740307	2836
94.442	0.74049		2836
94.462	0.740673	2836
94.486	0.740856	2836
94.509	0.741039	2836
94.533	0.741222	2843
94.554	0.741405	2836
94.579	0.741587	2836
94.603	0.74177		2836
94.628	0.741953	2836
94.648	0.742136	2843
94.673	0.742319	2836
94.697	0.742502	2843
94.722	0.742685	2836
94.743	0.742868	2836
94.767	0.74305		2843
94.792	0.743233	2843
94.816	0.743416	2843
94.836	0.743599	2843
94.861	0.743782	2856
94.886	0.743965	2849
94.91	0.744148	2849
94.931	0.744331	2856
94.955	0.744514	2849
94.98	0.744696	2849
95.005	0.744879	2849
95.026	0.745062	2856
95.051	0.745245	2849
95.076	0.745428	2849
95.101	0.745611	2856
95.122	0.745794	2849
95.147	0.745977	2856
95.172	0.746159	2849
95.197	0.746342	2856
95.218	0.746525	2863
95.243	0.746708	2849
95.268	0.746891	2856
95.293	0.747074	2856
95.313	0.747257	2863
95.338	0.74744		2863
95.362	0.747623	2863
95.387	0.747805	2863
95.407	0.747988	2863
95.431	0.748171	2870
95.454	0.748354	2870
95.479	0.748537	2876
95.499	0.74872		2863
95.523	0.748903	2876
95.547	0.749086	2883
95.572	0.749268	2883
95.592	0.749451	2876
95.616	0.749634	2883
95.64	0.749817	2883
95.664	0.75		2890
95.684	0.750183	2883
95.709	0.750366	2890
95.732	0.750549	2897
95.756	0.750732	2890
95.776	0.750914	2897
95.8	0.751097	2897
95.823	0.75128		2903
95.847	0.751463	2903
95.867	0.751646	2910
95.891	0.751829	2910
95.914	0.752012	2910
95.939	0.752195	2917
95.96	0.752377	2917
95.984	0.75256		2924
96.008	0.752743	2924
96.032	0.752926	2937
96.053	0.753109	2937
96.078	0.753292	2937
96.102	0.753475	2930
96.127	0.753658	2944
96.148	0.753841	2950
96.173	0.754023	2957
96.197	0.754206	2964
96.222	0.754389	2971
96.244	0.754572	2971
96.269	0.754755	2971
96.293	0.754938	2998
96.318	0.755121	2998
96.339	0.755304	3018
96.365	0.755486	3018
96.39	0.755669	3025
96.415	0.755852	3045
96.436	0.756035	3051
96.462	0.756218	3065
96.487	0.756401	3078
96.512	0.756584	3099
96.533	0.756767	3112
96.559	0.75695		3126
96.583	0.757132	3146
96.608	0.757315	3166
96.629	0.757498	3186
96.655	0.757681	3213
96.68	0.757864	3227
96.705	0.758047	3254
96.727	0.75823		3274
96.753	0.758413	3307
96.777	0.758595	3321
96.801	0.758778	3361
96.821	0.758961	3382
96.846	0.759144	3409
96.87	0.759327	3429
96.895	0.75951		3462
96.915	0.759693	3489
96.94	0.759876	3523
96.965	0.760059	3543
96.989	0.760241	3577
97.009	0.760424	3611
97.034	0.760607	3651
97.059	0.76079		3685
97.083	0.760973	3705
97.103	0.761156	3739
